title,genre,year,rating,min_age,description
The Lion King,Animation/Family,1994,8.5,4,"A young lion prince flees his kingdom after the murder of his father."
Toy Story,Animation/Comedy,1995,8.3,4,"A cowboy doll is profoundly threatened when a spaceman figure supplants him as top toy."
Finding Nemo,Animation/Family,2003,8.1,4,"After his son is captured in the Great Barrier Reef, a timid clownfish sets out on a journey to find him."
Shrek,Animation/Comedy,2001,7.8,6,"A mean lord exiles fairytale creatures to the swamp of an ogre, who must go on a quest and rescue a princess."
Moana,Animation/Musical,2016,7.6,5,"In Ancient Polynesia, a spirited daughter of a chief answers the Ocean's call to seek out the demigod Maui."
Frozen,Animation/Musical,2013,7.4,5,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice, her sister Anna teams up with a mountain man."
Spider-Man: Into the Spider-Verse,Animation/Action,2018,8.4,8,"Teen Miles Morales becomes Spider-Man of his reality and crosses paths with counterparts from other dimensions."
The Incredibles,Animation/Action,2004,8.0,6,"A family of undercover superheroes tries to live the quiet suburban life, but are forced into action to save the world."
Up,Animation/Drama,2009,8.2,6,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons."
WALL-E,Animation/Sci-Fi,2008,8.4,5,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Inside Out,Animation/Comedy,2015,8.1,7,"After young Riley is uprooted from her Midwest life, her emotions conflict on how best to navigate a new city."
Coco,Animation/Musical,2017,8.4,6,"Aspiring musician Miguel teams up with charming trickster Hector on an extraordinary journey through the Land of the Dead."
The Avengers,Action/Sci-Fi,2012,8.0,12,"Earth's mightiest heroes must come together to stop Loki and his army from enslaving humanity."
Iron Man,Action/Sci-Fi,2008,7.9,12,"After being held captive, billionaire industrialist Tony Stark creates a unique weaponized suit to fight evil."
Captain America: The First Avenger,Action/Sci-Fi,2011,6.9,10,"Steve Rogers volunteers for a top secret research project that turns him into Captain America."
Thor,Action/Fantasy,2011,7.0,11,"The powerful but arrogant god Thor is cast out of Asgard and sent to live amongst humans on Earth."
Guardians of the Galaxy,Action/Comedy,2014,8.0,12,"A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe."
Black Panther,Action/Drama,2018,7.3,12,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future."
Wonder Woman,Action/Fantasy,2017,7.4,12,"When an Amazon princess comes to the world of Man to stop a war, she discovers her full powers and true destiny."
Harry Potter and the Sorcerer's Stone,Fantasy/Family,2001,7.6,8,"An orphaned boy enrolls in a school of wizardry and learns the truth about himself, his family and his terrible fate."
Harry Potter and the Chamber of Secrets,Fantasy/Family,2002,7.4,8,"An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of Hogwarts."
The Chronicles of Narnia: The Lion,Fantasy/Family,2005,6.9,7,"Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion."
E.T. the Extra-Terrestrial,Sci-Fi/Family,1982,7.8,6,"A troubled child summons the courage to help a friendly alien escape Earth and return to his home world."
The Princess Bride,Adventure/Comedy,1987,8.0,8,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles and enemies."
Home Alone,Comedy/Family,1990,7.6,6,"An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone."
Mrs. Doubtfire,Comedy/Drama,2003,7.0,8,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children."
The Mask,Comedy/Fantasy,1994,6.9,10,"Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask."
Jumanji,Adventure/Fantasy,1995,7.0,9,"When two kids find and play a magical board game, they release a man trapped in it for decades and a host of dangers."
The Goonies,Adventure/Comedy,1985,7.7,8,"A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's treasure."
Back to the Future,Sci-Fi/Comedy,1985,8.5,9,"Marty McFly is accidentally sent 30 years into the past in a time-traveling DeLorean."
The Karate Kid,Drama/Family,1984,7.2,8,"A martial arts master agrees to teach karate to a bullied teenager."
School of Rock,Comedy/Music,2003,7.1,8,"After being kicked out of his rock band, guitarist Dewey Finn faces a mountain of debts and depression."
Matilda,Comedy/Family,1996,6.9,6,"Story of a brilliant young girl whose senseless and foolish parents completely ignore her."
A Bug's Life,Animation/Comedy,1998,7.2,4,"A misfit ant looks for warriors to save his colony from greedy grasshoppers."
Monsters Inc,Animation/Comedy,2001,8.1,4,"In order to power the city, monsters have to scare children so that they scream."
Ratatouille,Animation/Comedy,2007,8.0,6,"A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant."
Cars,Animation/Comedy,2006,7.1,5,"A hotshot race-car named Lightning McQueen gets waylaid in Radiator Springs."
Brave,Animation/Adventure,2012,7.1,7,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom."
Tangled,Animation/Musical,2010,7.7,6,"The magically long-haired Rapunzel has spent her entire life in a tower."
Zootopia,Animation/Comedy,2016,8.0,6,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together."
Big Hero 6,Animation/Action,2014,7.8,7,"The special bond that develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada."
How to Train Your Dragon,Animation/Adventure,2010,8.1,7,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself."
Kung Fu Panda,Animation/Comedy,2008,7.6,6,"The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance."
The Secret Life of Pets,Animation/Comedy,2016,6.5,5,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray from the pound."
Despicable Me,Animation/Comedy,2010,7.6,5,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme."
Minions,Animation/Comedy,2015,6.4,5,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who plots to take over the world."
The Jungle Book,Adventure/Family,2016,7.4,7,"After a threat from the tiger Shere Khan forces him to flee the jungle, Mowgli embarks on a journey of self discovery."
Alice in Wonderland,Fantasy/Family,2010,6.4,8,"Nineteen-year-old Alice returns to the magical world from her childhood adventure."
Charlie and the Chocolate Factory,Fantasy/Family,2005,6.7,7,"A young boy wins a tour through the most magnificent chocolate factory in the world."
The BFG,Fantasy/Family,2016,6.4,6,"A girl named Sophie encounters the Big Friendly Giant who brings her to Giant Country."
